date,region,product,units,revenue
2026-04-01,東京,キャベツ,120,21600
2026-04-01,大阪,玉葱,200,19000
2026-04-02,東京,トマト,80,20000
2026-04-02,名古屋,きゅうり,150,13500
2026-04-03,大阪,レタス,90,18000
2026-04-04,東京,キャベツ,140,25200
2026-04-05,名古屋,白菜,110,16500
2026-04-06,大阪,トマト,75,18750
2026-04-08,東京,玉葱,220,20900
2026-04-09,名古屋,キャベツ,95,17100
2026-04-10,大阪,きゅうり,180,16200
2026-04-11,東京,レタス,100,20000
2026-04-12,名古屋,トマト,85,21250
2026-04-14,大阪,キャベツ,130,23400
2026-04-15,東京,白菜,120,18000
2026-04-16,名古屋,玉葱,210,19950
2026-04-17,大阪,レタス,95,19000
2026-04-18,東京,きゅうり,160,14400
2026-04-19,名古屋,キャベツ,105,18900
2026-04-20,大阪,トマト,90,22500
2026-04-22,東京,玉葱,250,23750
2026-04-23,名古屋,白菜,130,19500
2026-04-24,大阪,キャベツ,150,27000
2026-04-25,東京,レタス,110,22000
2026-04-26,名古屋,きゅうり,170,15300
2026-04-27,大阪,トマト,80,20000
2026-04-28,東京,白菜,140,21000
2026-04-29,名古屋,キャベツ,115,20700
2026-04-30,大阪,玉葱,230,21850
2026-04-30,東京,レタス,120,24000
